region_code,CCAA,Municipio,area_code,area_name,ZBS,CS_name,presion_2018,presion_2019,presion_2020,presion_2021,presion_2022_parcial,presion_2022,presion_2022_parcial_nota,Centre CatSalut,presion_2018_mean,presion_2019_mean,presion_2020_mean,presion_2021_mean,presion_2022_parcial_mean,presion_2022_mean,CS_Aragón,CS_Navarra,EX_new_name
AS,Asturias,NA,AS_01,Área de Salud Área I: Jarrio,NA,VALDES - TREVIAS,NA,NA,NA,NA,,24.833822091886606,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS,Asturias,NA,AS_01,Área de Salud Área I: Jarrio,NA,VALDES - L.LUARCA,NA,NA,NA,NA,,37.350588235294119,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS,Asturias,NA,AS_01,Área de Salud Área I: Jarrio,NA,NAVIA - COAÑA/CUAÑA,NA,NA,NA,NA,,37.6239539748954,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS,Asturias,NA,AS_01,Área de Salud Área I: Jarrio,NA,TAPIA - EL FRANCO,NA,NA,NA,NA,,36.436608557844693,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS,Asturias,NA,AS_01,Área de Salud Área I: Jarrio,NA,VEGADEO - CASTROPOL - SAN TIRSO DE ABRES,NA,NA,NA,NA,,36.317969271877089,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS,Asturias,NA,AS_01,Área de Salud Área I: Jarrio,NA,TARAMUNDI,NA,NA,NA,NA,,23.364372469635626,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS,Asturias,NA,AS_01,Área de Salud Área I: Jarrio,NA,OSCOS,NA,NA,NA,NA,,22.830721003134798,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS,Asturias,NA,AS_01,Área de Salud Área I: Jarrio,NA,GRANDAS DE SALIME - PESOZ,NA,NA,NA,NA,,21.894736842105264,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS,Asturias,NA,AS_01,Área de Salud Área I: Jarrio,NA,BOAL,NA,NA,NA,NA,,22.781818181818181,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS,Asturias,NA,AS_01,Área de Salud Área I: Jarrio,NA,VILLAYON,NA,NA,NA,NA,,23.601694915254239,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
